
> ultra-svet@0.1.0 parse
> node scripts/parse.mjs

Importing products from https://ultra-svet.com
limit=1000, delay=500ms, concurrency=3, output=products.json
existing=1000, target=1000
[parser:info] collecting product urls {"limit":1000,"delay":500,"concurrency":3}
scan 10 products, queue 143: /nizkovoltnoe-oborudovanie
scan 29 products, queue 251: /elektrofurnitura
scan 36 products, queue 416: /kabel-i-provod
scan 36 products, queue 573: /lampi
scan 70 products, queue 626: /svetilniki-dlya-doma
scan 105 products, queue 677: /vse-dlya-elektromontazha
scan 120 products, queue 763: /instrument
scan 145 products, queue 814: /
scan 145 products, queue 966: /lampi?page=2
scan 146 products, queue 1113: /lampi?page=3
scan 175 products, queue 1179: /svetilniki-dlya-doma?page=2
scan 205 products, queue 1240: /svetilniki-dlya-ulitsy
scan 233 products, queue 1306: /svetilniki-dlya-doma?page=3
scan 256 products, queue 1386: /svetilniki-dlya-ulitsy?page=2
scan 271 products, queue 1488: /svetilniki-dlya-ulitsy?page=3
scan 306 products, queue 1533: /vse-dlya-elektromontazha?page=2
scan 341 products, queue 1573: /vse-dlya-elektromontazha?page=3
scan 365 products, queue 1648: /sistemy-prokladki-kabelya
scan 400 products, queue 1687: /sistemy-prokladki-kabelya?page=2
scan 428 products, queue 1741: /sistemy-prokladki-kabelya?page=3
scan 442 products, queue 1837: /vysokovoltnoe-oborudovanie
scan 477 products, queue 1866: /vysokovoltnoe-oborudovanie?page=2
scan 496 products, queue 1943: /rele-kontrolya-i-upravleniya
scan 530 products, queue 1972: /vysokovoltnoe-oborudovanie?page=3
scan 559 products, queue 2016: /rele-kontrolya-i-upravleniya?page=2
scan 575 products, queue 2108: /kommutacionnoe-oborudovanie
scan 586 products, queue 2203: /rele-kontrolya-i-upravleniya?page=3
scan 595 products, queue 2313: /kommutacionnoe-oborudovanie?page=2
scan 600 products, queue 2405: /ruchnoj-instrument
scan 624 products, queue 2467: /kommutacionnoe-oborudovanie?page=3
scan 656 products, queue 2498: /ruchnoj-instrument?page=2
scan 691 products, queue 2504: /elektroinstrument
scan 726 products, queue 2530: /ruchnoj-instrument?page=3
scan 728 products, queue 2532: /elektroinstrument?page=2
scan 761 products, queue 2564: /bytovaya-tehnika
scan 761 products, queue 2563: /elektroinstrument?page=3
scan 791 products, queue 2601: /bytovaya-tehnika?page=2
scan 793 products, queue 2612: /avtomaticheskij-vyklyuchatel-1-pol-10a-s-6ka-schneider-resi9-r9f12110
scan 793 products, queue 2740: /bytovaya-tehnika?page=3
scan 793 products, queue 2754: /avtomaticheskij-vyklyuchatel-1-pol-10a-s-6ka-schneider-resi9-r9f12110?page=2
scan 793 products, queue 2768: /avtomaticheskij-vyklyuchatel-1-pol-16a-s-6ka-schneider-resi9-r9f12116
scan 793 products, queue 2782: /avtomaticheskij-vyklyuchatel-1-pol-10a-s-6ka-schneider-resi9-r9f12110?page=3
scan 794 products, queue 2792: /avtomaticheskij-vyklyuchatel-1-pol-16a-s-6ka-schneider-resi9-r9f12116?page=2
scan 794 products, queue 2804: /avtomaticheskij-vyklyuchatel-1-pol-20a-s-6ka-schneider-resi9-r9f12120
scan 794 products, queue 2818: /avtomaticheskij-vyklyuchatel-1-pol-16a-s-6ka-schneider-resi9-r9f12116?page=3
scan 794 products, queue 2828: /avtomaticheskij-vyklyuchatel-1-pol-20a-s-6ka-schneider-resi9-r9f12120?page=2
scan 794 products, queue 2842: /avtomaticheskij-vyklyuchatel-1-pol-25a-s-6ka-schneider-resi9-r9f12125
scan 794 products, queue 2857: /avtomaticheskij-vyklyuchatel-1-pol-20a-s-6ka-schneider-resi9-r9f12120?page=3
scan 794 products, queue 2872: /avtomaticheskij-vyklyuchatel-1-pol-25a-s-6ka-schneider-resi9-r9f12125?page=2
scan 794 products, queue 2884: /avtomaticheskij-vyklyuchatel-1-pol-32a-s-6ka-schneider-resi9-r9f12132
scan 794 products, queue 2899: /avtomaticheskij-vyklyuchatel-1-pol-25a-s-6ka-schneider-resi9-r9f12125?page=3
scan 794 products, queue 2912: /avtomaticheskij-vyklyuchatel-1-pol-32a-s-6ka-schneider-resi9-r9f12132?page=2
scan 794 products, queue 2923: /avtomaticheskij-vyklyuchatel-1-pol-40a-s-6ka-schneider-resi9-r9f12140
