[photos] start scope=all candidates=981 eligible=981 concurrency=3
[photos] 25/981 done; found=10; skipped=15; notFound=0
[photos] 50/981 done; found=29; skipped=22; notFound=0
[photos] 75/981 done; found=50; skipped=25; notFound=0
[photos] 100/981 done; found=74; skipped=26; notFound=0
[photos] 125/981 done; found=95; skipped=31; notFound=0
[photos] 150/981 done; found=112; skipped=39; notFound=0
[photos] 175/981 done; found=131; skipped=45; notFound=0
[photos] 200/981 done; found=136; skipped=64; notFound=0
[photos] 225/981 done; found=145; skipped=79; notFound=1
[photos] 250/981 done; found=151; skipped=98; notFound=1
[photos] 275/981 done; found=172; skipped=102; notFound=1
[photos] 300/981 done; found=183; skipped=116; notFound=1
[photos] 325/981 done; found=194; skipped=130; notFound=1
[photos] 350/981 done; found=217; skipped=132; notFound=1
[photos] 375/981 done; found=241; skipped=133; notFound=1
[photos] 400/981 done; found=252; skipped=147; notFound=1
[photos] 425/981 done; found=269; skipped=155; notFound=1
[photos] 450/981 done; found=280; skipped=169; notFound=1
[photos] 475/981 done; found=297; skipped=177; notFound=1
[photos] 500/981 done; found=319; skipped=180; notFound=1
[photos] 525/981 done; found=345; skipped=180; notFound=1
[photos] 550/981 done; found=370; skipped=180; notFound=1
[photos] 575/981 done; found=387; skipped=187; notFound=1
[photos] 600/981 done; found=406; skipped=194; notFound=1
[photos] 625/981 done; found=406; skipped=219; notFound=1
[photos] 650/981 done; found=411; skipped=238; notFound=1
[photos] 675/981 done; found=431; skipped=243; notFound=1
[photos] 700/981 done; found=443; skipped=256; notFound=1
[photos] 725/981 done; found=466; skipped=258; notFound=1
[photos] 750/981 done; found=472; skipped=277; notFound=1
[photos] 775/981 done; found=474; skipped=300; notFound=1
[photos] 800/981 done; found=485; skipped=314; notFound=1
[photos] 825/981 done; found=487; skipped=337; notFound=1
[photos] 850/981 done; found=495; skipped=354; notFound=1
[photos] 875/981 done; found=500; skipped=375; notFound=1
[photos] 900/981 done; found=504; skipped=395; notFound=1
[photos] 925/981 done; found=524; skipped=401; notFound=1
[photos] 950/981 done; found=543; skipped=407; notFound=1
[photos] 975/981 done; found=559; skipped=415; notFound=1
[photos] 981/981 done; found=565; skipped=415; notFound=1
