productSku,productName,agentGuid,oldPrice,newPrice,oldFormulaPrice,priceSource,A020,A021,A040,matchedBy
MCN120,"Автоматичний вимикач 1P 6kA C-20A 1M ""HAGER"" MCN120",A410F172-70B4-11EC-A594-BC5FF4F4F2AA,151.76,204.88,151.76,A021,151.76,204.88,151.76,article
MCN110,"Автоматичний вимикач 1P 6kA C-10A 1M ""HAGER"" MCN110",7FCC5659-A47F-11EE-AF1C-BC5FF4F4F2AA,143.34,193.51,143.34,A021,143.34,193.51,143.34,article
MCN116,"Автоматичний вимикач 1P 6kA C-16A 1M ""HAGER"" MCN116",7FCC5654-A47F-11EE-AF1C-BC5FF4F4F2AA,151.74,204.85,151.74,A021,151.74,204.85,151.74,article
MCN125,"Автоматичний вимикач 1P 6kA C-25A 1M ""HAGER"" MCN125",345DCC33-B38C-11EE-8BF0-BC5FF4F4F2AA,159.54,215.38,159.54,A021,159.54,215.38,159.54,article
MCN140,"Автоматичний вимикач 1P 6kA C-40A 1M ""HAGER"" MCN140",A410F178-70B4-11EC-A594-BC5FF4F4F2AA,193.34,261.01,193.34,A021,193.34,261.01,193.34,article
MCN210,"Автоматичний вимикач 2P 6kA C-10A 2M ""HAGER"" MCN210",A410F18A-70B4-11EC-A594-BC5FF4F4F2AA,371.8,501.93,371.8,A021,371.8,501.93,371.8,article
MCN216,"Автоматичний вимикач 2P 6kA C-16A 2M ""HAGER"" MCN216",A410F18E-70B4-11EC-A594-BC5FF4F4F2AA,332.25,448.54,332.25,A021,332.25,448.54,332.25,article
MCN220,"Автоматичний вимикач 2P 6kA C-20A 2M ""HAGER"" MCN220",A410F190-70B4-11EC-A594-BC5FF4F4F2AA,371.82,501.96,371.82,A021,371.82,501.96,371.82,article
MCN232,"Автоматичний вимикач 2P 6kA C-32A 2M ""HAGER"" MCN232",A410F194-70B4-11EC-A594-BC5FF4F4F2AA,427.91,577.68,427.91,A021,427.91,577.68,427.91,article
MCN206,"Автоматичний вимикач 2P 6kA C-6A 2M ""HAGER"" MCN206",A410F188-70B4-11EC-A594-BC5FF4F4F2AA,430.61,581.32,430.61,A021,430.61,581.32,430.61,article
715-0203-602,Вилка з кільцем с/з біло-чорна LEZARD 715-0203-602,AD95071E-9EEA-11EB-AE88-BC5FF4F4F2AA,28.2,38.07,28.2,A021,28.2,38.07,28.2,article
715-0501-605,Вилка з/з UPS LEZARD 715-0501-605,AD950704-9EEA-11EB-AE88-BC5FF4F4F2AA,28.2,38.07,28.2,A021,28.2,38.07,28.2,article
LMA0204,"Вилка з/з каучукова ""LEMANSO"" LMA0204",38F3BD9B-436C-11EB-91E8-BC5FF4F4F2AA,24.52,33.1,24.52,A021,24.52,33.1,24.52,article
LMA0202,"Вилка з/з каучукова ручкою ""LEMANSO"" LMA0202",38F3BD99-436C-11EB-91E8-BC5FF4F4F2AA,29.35,39.62,29.35,A021,29.35,39.62,29.35,article
LMA028,"Вилка звичайна б/з біла ""LEMANSO"" LMA028",294298DA-9D71-11E3-822B-902B34A4365E,15.87,21.42,15.87,A021,15.87,21.42,15.87,article
LMA063,"Вилка звичайна б/з біла ""LEMANSO"" LMA063",9A402248-36D8-11F0-9D3F-BC5FF4F4F2AA,14.49,19.56,14.49,A021,14.49,19.56,14.49,article
LMA3311,"Вилка звичайна б/з біла ""LEMANSO"" LMA3311",C362D3B9-5EEC-11EB-A76A-BC5FF4F4F2AA,13.11,17.7,13.11,A021,13.11,17.7,13.11,article
LMA008,"Вилка звичайна с/з біла ""LEMANSO"" LMA008",352B6D0F-59E6-11E4-B89C-BC5FF4F4F2AA,16.56,22.36,16.56,A021,16.56,22.36,16.56,article
106-0400-0108,Вилка кутова 2Р+РЕ 1х16А (каучук) LEZARD 106-0400-0108,CC5864D1-9EEA-11EB-AE88-BC5FF4F4F2AA,39.24,52.97,39.24,A021,39.24,52.97,39.24,article
106-0400-0109,Вилка кутова з кільцем 2Р+РЕ 1х16А (каучук) LEZARD 106-0400-0109,CC5864FB-9EEA-11EB-AE88-BC5FF4F4F2AA,40.94,55.27,40.94,A021,40.94,55.27,40.94,article
