"brand","source","id","name","article","stock","unit","category","strongCandidate"
"POLAX","AgentPlus","AC52BFFC-4144-11EC-8D80-BC5FF4F4F2AA","Скотч пакувальний 45мм*200м ""POSTROY"" 101-045 (1шт)","045","135","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ІНСТРУМЕНТ / POLAX / Скотчі та спеціальні стрічки (0% знижка!) / Скотч пакувальний / Скотч пакувальний прозорий","no"
"POLAX","AgentPlus","697C185F-4773-11EC-BD8E-BC5FF4F4F2AA","Армована стрічка посилена 50мм x 10м ""POLAX"" 101-100 (1шт)","x10","61","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ІНСТРУМЕНТ / POLAX / Скотчі та спеціальні стрічки (0% знижка!) / Армована стрічка / Армована стрічка","no"
"POLAX","AgentPlus","697C1863-4773-11EC-BD8E-BC5FF4F4F2AA","Армована стрічка посилена 50мм x 50м ""POLAX"" 101-102 (1шт)","x50","61","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ІНСТРУМЕНТ / POLAX / Скотчі та спеціальні стрічки (0% знижка!) / Армована стрічка / Армована стрічка","no"
"POLAX","AgentPlus","8CB3E4C2-7907-11E8-B71A-BC5FF4F4F2AA","Шнур будівельний 7 метрів - Розпродаж!","","60","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ІНСТРУМЕНТ / POLAX / Вимірювальний інструмент / Ліска будівельна","no"
"POLAX","AgentPlus","617A01FF-4148-11EC-8D80-BC5FF4F4F2AA","Двостороння спінена клейка стрічка 12мм*5м ""POLAX"" 101-028 (1шт)","028","59","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ІНСТРУМЕНТ / POLAX / Скотчі та спеціальні стрічки (0% знижка!) / Стрічка на спіненій основі","no"
"POLAX","AgentPlus","617A0203-4148-11EC-8D80-BC5FF4F4F2AA","Двостороння спінена клейка стрічка 19мм*5м ""POLAX"" 101-030 (1шт)","030","56","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ІНСТРУМЕНТ / POLAX / Скотчі та спеціальні стрічки (0% знижка!) / Стрічка на спіненій основі","no"
"POLAX","AgentPlus","AC52BFE7-4144-11EC-8D80-BC5FF4F4F2AA","Алюмінієва клейка стрічка 50мм х10м ""POLAX"" 101-010 (1шт)","010","38","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ІНСТРУМЕНТ / POLAX / Скотчі та спеціальні стрічки (0% знижка!) / Алюмінієва стрічка","no"
"POLAX","AgentPlus","622C7CEB-9D71-11E3-822B-902B34A4365E","Валик Foam rubber 6 X 80X 150mm""POLAX"" 1-09 (1шт)","X80X","37","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ІНСТРУМЕНТ / POLAX / Малярський Інструмент / Валики / Валик - Foam rubber - Поролон","yes"
"POLAX","AgentPlus","5C7CEA53-1E78-11F0-B0CD-BC5FF4F4F2AA","Ванна малярна велика 300 Х 330 мм""POLAX"" 100-428","100-428","33","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ІНСТРУМЕНТ / POLAX / Малярський Інструмент / Ванни малярські","yes"
"POLAX","AgentPlus","F2CFD15A-1868-11F1-9987-BC5FF4F4F2AA","Ніж з трапецієподібним лезом 19мм (3 шт) SK5, біти 25мм (2 шт) PH2/SL6 ""POLAX"" 23-015","23-015","27","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ІНСТРУМЕНТ / POLAX / Столярно-слюсарний інструмент / Ножі будівельні","yes"
"POLAX","AgentPlus","3892F75D-6755-11EA-BB13-BC5FF4F4F2AA","Маска марлева двошарова з фільтротканням ""POLAX"" 100-236","100-236","23","шт","ПРОДУКЦІЯ КОМПАНІЇ ""ULTRA SVET"" / ІНСТРУМЕНТ / POLAX / Засоби захисту / Маски захисні ( медичні )","yes"
