"status","article","brand","name","agentGuid","stock","imageUrl","imageSource","score","reason"
"found","LM485","LEMANSO","LED панель 5W 400LM 4500K коло чорний ""LEMANSO"" LM485","E97B26A3-CA42-11E4-9DB7-BC5FF4F4F2AA","8","https://ultra-svet.com/image/catalog/tovari/led-osveshtenie/led-paneli-i-downlight/led-paneli-dekorativnie/779-w-500x500.jpg","https://ultra-svet.com/led-panel-5w-400lm-4500k-belaya-lemanso-lm485","98","pwa-catalog"
"found","LM486","LEMANSO","LED панель 5W 400LM 4500K коло чорний ""LEMANSO"" LM486","410EAE44-CBA7-11E4-841C-BC5FF4F4F2AA","10","https://ultra-svet.com/image/catalog/tovari/led-osveshtenie/led-paneli-i-downlight/led-paneli-dekorativnie/bel.JPG","https://ultra-svet.com/led-panel-5w-400lm-4500k-belaya-lemanso-lm486","98","pwa-catalog"
"skipped","","LEMANSO","Стенд под розетки ""LEMANSO""","2C8CFFBF-FA4B-11E5-9E27-BC5FF4F4F2AA","8","","","","article_not_found"
"not_found","931522","LEMANSO","Ліхтарик LXLL99 ""LEMANSO"" 931522","A19CB59C-ADA9-11F0-B106-BC5FF4F4F2AA","6","","","","no_strict_source_match"
"not_found","931516","LEMANSO","Ліхтарик LXLL70 ""LEMANSO"" 931516","A19CB59E-ADA9-11F0-B106-BC5FF4F4F2AA","10","","","","no_strict_source_match"
"not_found","LM875","LEMANSO","Блок живлення тонкий метал для LED стрічки 100W 12V Преміум ""LEMANSO"" LM875","2BB22B3C-AB31-11F0-8B95-BC5FF4F4F2AA","1","","","","no_strict_source_match"
"not_found","LM885","LEMANSO","Блок живлення метал для LED стрічки 24V 200W 8,3A ""LEMANSO"" LM885","789F0667-1C4F-11F1-BCFB-BC5FF4F4F2AA","1","","","","no_strict_source_match"
"not_found","LM883","LEMANSO","Блок живлення метал для LED стрічки 24V 60W 2,5A ""LEMANSO"" LM883","789F0665-1C4F-11F1-BCFB-BC5FF4F4F2AA","1","","","","no_strict_source_match"
"not_found","LM884","LEMANSO","Блок живлення метал для LED стрічки 24V 100W 4,2A ""LEMANSO"" LM884","789F0663-1C4F-11F1-BCFB-BC5FF4F4F2AA","1","","","","no_strict_source_match"
"not_found","LM881","LEMANSO","Блок живлення пластик тонкий для LED стрічки 12V 120W 10A Преміум ""LEMANSO"" LM881","789F065F-1C4F-11F1-BCFB-BC5FF4F4F2AA","2","","","","no_strict_source_match"
"not_found","LM876","LEMANSO","Блок живлення пластик тонкий для LED стрічки 12V 24W 2A Преміум ""LEMANSO"" LM876","789F0659-1C4F-11F1-BCFB-BC5FF4F4F2AA","2","","","","no_strict_source_match"
"not_found","LM882","LEMANSO","Блок живлення пластик тонкий для LED стрічки 12V 150W 12.5A Преміум ""LEMANSO"" LM882","789F0661-1C4F-11F1-BCFB-BC5FF4F4F2AA","2","","","","no_strict_source_match"
"not_found","LM880","LEMANSO","Блок живлення пластик тонкий для LED стрічки 24V 100W 4,5A Преміум ""LEMANSO"" LM880","789F0669-1C4F-11F1-BCFB-BC5FF4F4F2AA","1","","","","no_strict_source_match"
"not_found","LM877","LEMANSO","Блок живлення пластик тонкий для LED стрічки 12V 36W 3A Преміум ""LEMANSO"" LM877","789F065B-1C4F-11F1-BCFB-BC5FF4F4F2AA","2","","","","no_strict_source_match"
"not_found","LM878","LEMANSO","Блок живлення пластик тонкий для LED стрічки 12V 48W 4A Преміум ""LEMANSO"" LM878","789F065D-1C4F-11F1-BCFB-BC5FF4F4F2AA","2","","","","no_strict_source_match"
"found","LTL10074","LEMANSO","Викрутка - індикатор напруги AC100-500V 3,0х140мм ""LEMANSO"" LTL10074","8CB3E4D7-7907-11E8-B71A-BC5FF4F4F2AA","7","https://cdn.27.ua/sc--media--prod/default/9f/b7/9b/9fb79b35-15b7-4527-8433-22c57fb6dbf6.jpg","https://epicentrk.ua/shop/mplc-indikator-naprugi-vikrutka-lemanso-100-500v-3-0x140-mm-ltl10074-1f056a27-5592-63e6-966f-c1b4a8698fb6.html","107","epicentr"
"not_found","LM879","LEMANSO","Блок живлення пластик тонкий для LED стрічки 24V 60W 2,5A Преміум "" LEMANSO"" LM879","789F066B-1C4F-11F1-BCFB-BC5FF4F4F2AA","1","","","","no_strict_source_match"
"not_found","LTL20042","LEMANSO","Бокорізи 5"" оранжеві ""LEMANSO"" LTL20042","E1096505-F6CD-11E8-A417-BC5FF4F4F2AA","1","","","","no_strict_source_match"
