"status","article","brand","name","agentGuid","stock","imageUrl","imageSource","score","reason"
"skipped","92-9041","MASTER TOOL","Адаптер 1/2""ВР MASTER TOOL 92-9041","C0598B82-9EEA-11EB-AE88-BC5FF4F4F2AA","15","","","","already_has_photo"
"skipped","92-9040","ГОСПОДАР","Адаптер 1/2""НР ГОСПОДАР 92-9040","C0598B80-9EEA-11EB-AE88-BC5FF4F4F2AA","22","","","","already_has_photo"
"skipped","92-9042","ГОСПОДАР","Адаптер 3/4""НР ГОСПОДАР 92-9042","C0598B84-9EEA-11EB-AE88-BC5FF4F4F2AA","33","","","","already_has_photo"
"skipped","92-9050","ГОСПОДАР","Конектор для шланга 1/2"" ГОСПОДАР 92-9050","C0598B8C-9EEA-11EB-AE88-BC5FF4F4F2AA","25","","","","already_has_photo"
"skipped","92-9053","ГОСПОДАР","Муфта цангова для шланга 1/2"" ГОСПОДАР 92-9053","8BC7D0F7-8E64-11EC-BDD9-BC5FF4F4F2AA","37","","","","already_has_photo"
"skipped","92-9059","ГОСПОДАР","Муфта цангова для шланга 1/2"" ребриста ГОСПОДАР 92-9059","C0598B98-9EEA-11EB-AE88-BC5FF4F4F2AA","15","","","","already_has_photo"
"skipped","92-9052","ГОСПОДАР","Муфта цангова перехідна для шланга 1/2""-3/4"" ГОСПОДАР 92-9052","7025FB71-2C12-11EC-9962-BC5FF4F4F2AA","12","","","","already_has_photo"
"skipped","92-9307","MASTER TOOL","Адаптер для конектора 1/2"" ВР MASTER TOOL 92-9307","C0598B38-9EEA-11EB-AE88-BC5FF4F4F2AA","10","","","","already_has_photo"
"skipped","92-9306","MASTER TOOL","Адаптер для конектора 1/2"" НР MASTER TOOL 92-9306","C0598B36-9EEA-11EB-AE88-BC5FF4F4F2AA","10","","","","already_has_photo"
"skipped","92-9308","MASTER TOOL","Адаптер для конектора 3/4"" НР MASTER TOOL 92-9308","C0598B3A-9EEA-11EB-AE88-BC5FF4F4F2AA","10","","","","already_has_photo"
"skipped","92-9328","MASTER TOOL","Адаптер для конектора без різьблення, під кран 1/2""-3/4"" MASTER TOOL 92-9328","7025FB4F-2C12-11EC-9962-BC5FF4F4F2AA","13","","","","already_has_photo"
"skipped","92-9311","MASTER TOOL","Адаптер з'єднувальний для конектора 1/2"" MASTER TOOL 92-9311","C0598B40-9EEA-11EB-AE88-BC5FF4F4F2AA","14","","","","already_has_photo"
"found","92-9060","ГОСПОДАР","Трійник цанговий для шланга 3/4"" ГОСПОДАР 92-9060","C0598B9A-9EEA-11EB-AE88-BC5FF4F4F2AA","5","https://tdp.com.ua/images/catalog/70bbttkwE0/1558598461_f3ccd.jpg","https://tdp.com.ua/product/trojnik-cangovyj-master-tool-dlja-shlanga-34-92-9060.html","98","tdp"
